id,name,type1,type2
147,Dratini,dragon,
148,Dragonair,dragon,
149,Dragonite,dragon,flying
152,Chikorita,grass,
153,Bayleef,grass,
154,Meganium,grass,dragon
155,Cyndaquil,fire,
156,Quilava,fire,
157,Typhlosion,fire,ghost
158,Totodile,water,
159,Croconaw,water,
160,Feraligatr,water,poison
161,Sentret,normal,
162,Furret,normal,
163,Hoothoot,psychic,flying
164,Noctowl,psychic,flying
165,Ledyba,bug,flying
166,Ledian,bug,flying
167,Spinarak,bug,dark
168,Ariados,bug,dark
169,Crobat,poison,flying
170,Chinchou,water,electric
171,Lanturn,water,electric
172,Scream Tail,psychic,
173,Sandy Shocks,electric,ground
174,Flutter Mane,ghost,
175,Togepi,normal,
176,Togetic,normal,flying
177,Natu,fairy,electric
178,Xatu,fairy,electric
179,Mareep,electric,psychic
180,Flaaffy,electric,psychic
181,Ampharos,electric,psychic
182,Bellossom,psychic,grass
183,Marill,water,
184,Azumarill,water,
185,Sudowoodo,rock,
186,Politoed,water,
187,Hoppip,grass,flying
188,Skiploom,grass,flying
189,Jumpluff,grass,flying
190,Aipom,normal,
191,Sunkern,grass,fire
192,Sunflora,grass,fire
193,Yanma,bug,flying
194,Wooper,water,ground
195,Quagsire,water,ground
196,Espeon,psychic,
197,Umbreon,dark,
198,Murkrow,dark,flying
199,Slowking,water,psychic
200,Misdreavus,ghost,
201,Gorochu,electric,fighting
202,Wobbuffet,psychic,
203,Girafarig,normal,psychic
204,Pineco,bug,
205,Forretress,bug,steel
206,Dunsparce,normal,dragon
207,Gligar,ground,flying
208,Steelix,steel,ground
209,Snubbull,normal,fighting
210,Granbull,normal,fighting
211,Great Tusk,ground,fighting
212,Scizor,bug,steel
213,Shuckle,bug,rock
214,Heracross,bug,fighting
215,Sneasel,poison,ice
216,Teddiursa,normal,
217,Ursaring,normal,
218,Slugma,fire,
219,Magcargo,fire,rock
220,Swinub,ice,ground
221,Piloswine,ice,ground
222,Raging Bolt,electric,dragon
223,Remoraid,water,
224,Octillery,water,
225,Gouging Fire,fire,dragon
226,Mantine,water,fairy
227,Skarmory,steel,flying
228,Houndour,dark,fire
229,Houndoom,dark,fire
230,Kingdra,water,dragon
231,Phanpy,ground,
232,Donphan,ground,
233,Porygon2,normal,
234,Roaring Moon,dragon,dark
235,Walking Wake,water,dragon
236,Tyrogue,fighting,
237,Hitmontop,fighting,
238,Smoochum,grass,water
239,Elekid,electric,
240,Magby,fire,water
241,Miltank,normal,
242,Blissey,normal,fairy
243,Raikou,electric,
244,Entei,fire,
245,Suicune,water,
246,Larvitar,rock,ground
247,Pupitar,rock,ground
248,Tyranitar,rock,dark
251,Celebi,psychic,grass
252,Treecko,grass,
253,Grovyle,grass,
254,Sceptile,grass,
255,Torchic,fire,
256,Combusken,fire,fighting
257,Blaziken,fire,fighting
258,Mudkip,water,
259,Marshtomp,water,ground
260,Swampert,water,ground
261,Poochyena,ice,dark
262,Mightyena,ice,dark
263,Zigzagoon,normal,
264,Linoone,normal,
265,Wurmple,bug,
266,Silcoon,bug,
267,Beautifly,bug,ice
268,Cascoon,bug,
269,Dustox,bug,poison
270,Lotad,water,grass
271,Lombre,water,grass
272,Ludicolo,water,grass
273,Seedot,grass,
274,Nuzleaf,grass,dark
275,Shiftry,grass,dark
276,Taillow,normal,flying
277,Swellow,normal,flying
278,Wingull,water,flying
279,Pelipper,water,flying
280,Ralts,fairy,psychic
281,Kirlia,fairy,psychic
282,Gardevoir,fairy,psychic
283,Surskit,bug,water
284,Masquerain,bug,water
285,Shroomish,poison,
286,Breloom,poison,fighting
287,Slakoth,normal,
288,Vigoroth,normal,
289,Slaking,normal,
290,Nincada,bug,ground
291,Ninjask,bug,flying
292,Shedinja,bug,ghost
293,Whismur,normal,
294,Loudred,normal,
295,Exploud,normal,
296,Makuhita,fighting,
297,Hariyama,fighting,
298,Yggdreon,fairy,
299,Nosepass,rock,
300,Skitty,normal,psychic
301,Delcatty,normal,psychic
302,Sableye,dark,ghost
303,Mawile,steel,
304,Aron,steel,fighting
305,Lairon,steel,fighting
306,Aggron,steel,fighting
307,Meditite,fighting,psychic
308,Medicham,fighting,psychic
309,Electrike,electric,
310,Manectric,electric,
311,Plusle,electric,
312,Minun,electric,
313,Volbeat,bug,electric
314,Illumise,bug,psychic
315,Roselia,grass,poison
316,Gulpin,poison,water
317,Swalot,poison,water
318,Carvanha,water,dark
319,Sharpedo,water,dark
320,Wailmer,water,
321,Wailord,water,ice
322,Numel,fire,ground
323,Camerupt,fire,ground
324,Torkoal,fire,
325,Spoink,psychic,
326,Grumpig,psychic,
327,Regigigas,dark,fairy
328,Trapinch,ground,bug
329,Vibrava,ground,dragon
330,Flygon,ground,dragon
331,Cacnea,grass,
332,Cacturne,grass,dark
333,Swablu,normal,flying
334,Altaria,dragon,flying
335,Zangoose,normal,
336,Seviper,poison,
337,Lunatone,rock,fairy
338,Solrock,rock,fairy
339,Barboach,dark,ground
340,Whiscash,dark,ground
341,Corphish,water,
342,Crawdaunt,water,dark
343,Baltoy,steel,
344,Claydol,steel,
345,Lileep,rock,grass
346,Cradily,rock,grass
347,Anorith,rock,bug
348,Armaldo,rock,bug
349,Feebas,water,
350,Milotic,water,
351,Castform,normal,fairy
352,Kecleon,normal,
353,Shuppet,ghost,
354,Banette,ghost,dark
355,Duskull,ghost,fairy
356,Dusclops,ghost,fairy
357,Tropius,grass,flying
358,Chimecho,psychic,fairy
359,Absol,dark,poison
361,Snorunt,ice,
362,Glalie,ice,
363,Spheal,ice,water
364,Sealeo,ice,water
365,Walrein,ice,water
366,Annihilape,fighting,ghost
367,Dudunsparce,normal,dragon
368,Ursaluna,normal,ground
369,Relicanth,ghost,rock
370,Corsola,grass,rock
371,Bagon,dragon,
372,Shelgon,dragon,
373,Salamence,dragon,flying
374,Beldum,steel,psychic
375,Metang,steel,psychic
376,Metagross,steel,psychic
377,Regirock,rock,fairy
378,Regice,ice,fairy
379,Registeel,steel,fairy
380,Deep Maiden,grass,water
381,Narmer,dark,ground
382,Tlachtga,ghost,fire
383,Dinogator,water,poison
384,Avid Dragon,grass,dragon
385,Jirachi,steel,psychic
386,Reefsola,grass,rock
387,Roserade,grass,poison
388,Ambipom,normal,
389,Mismagius,ghost,fire
390,Honchkrow,dark,flying
391,Weavile,poison,ice
392,Magnezone,electric,steel
393,Lickilicky,normal,
394,Rhyperior,ground,rock
395,Tangrowth,grass,ghost
396,Electivire,electric,dragon
397,Magmortar,fire,water
398,Togekiss,normal,flying
399,Yanmega,bug,flying
400,Froslass,ice,ghost
401,Gliscor,ground,flying
402,Porygon-Z,normal,
403,Gallade,fairy,fighting
404,Probopass,rock,steel
405,Dusknoir,ghost,fairy
406,Mamoswine,ice,ground
407,Farigiraf,normal,psychic
408,Leafeon,grass,
409,Glaceon,ice,
